"Species","sstmean","MaxSizeTL","Diet","Position","Method","Kmax","Kmax_lowq","Kmax_uppq"
"Scarus ghobban",22.8,75,"HerDet","BtPlDw","Otolth",0.100616835057735,0.0891973990947008,0.119854303076863
"Schuettea scalaripinnis",22.8,20,"Plktiv","BtPlDw","Otolth",0.33499650657177,0.306315712630749,0.365104675292969
"Scorpaena cardinalis",22.8,18,"FisCep","BnthDw","Otolth",0.261735841631889,0.232777889817953,0.29731622338295
"Scorpis lineolata",22.8,30,"Plktiv","PelgDw","Otolth",0.268453970551491,0.243528638035059,0.295522443950176
"Seriola dumerili",22.8,190,"FisCep","PelgAs","Otolth",0.0645849294960499,0.0567794609814882,0.0723308753222227
"Seriola hippos",22.8,150,"FisCep","PelgAs","Otolth",0.0723242126405239,0.0637620966881514,0.0831058342009783
"Seriola lalandi",22.8,250,"FisCep","PelgAs","Otolth",0.0664753057062626,0.0588844604790211,0.0749531388282776
"Seriola rivoliana",22.8,160,"FisCep","PelgAs","Otolth",0.0416251607239246,0.0361297866329551,0.0480687683448195
"Seriolina nigrofasciata",22.8,70,"FisCep","PelgAs","Otolth",0.175335630774498,0.15731418505311,0.193133547902107
"Siganus fuscescens",22.8,40,"HerMac","BtPlDw","Otolth",0.186412878334522,0.1611203327775,0.21241882070899
"Stegastes apicalis",22.8,15,"HerDet","BnthDw","Otolth",0.510942399501801,0.451620794832706,0.576805353164673
"Stegastes gascoynei",22.8,15,"HerDet","BnthDw","Otolth",0.510942399501801,0.451620794832706,0.576805353164673
"Stethojulis interrupta",22.8,13,"InvMob","BnthDw","Otolth",0.586683869361877,0.522706106305122,0.649356365203857
"Sufflamen chrysopterum",22.8,30,"InvMob","BtPlDw","Otolth",0.227071240544319,0.201961867511272,0.255826465785503
"Synodus jaculum",22.8,20,"InvMob","BnthAs","Otolth",0.318833112716675,0.29000161588192,0.355757102370262
"Thalassoma jansenii",22.8,20,"InvMob","BtPlDw","Otolth",0.340367555618286,0.307564124464989,0.375184580683708
"Thalassoma lunare",22.8,45,"InvMob","BtPlDw","Otolth",0.114803832024336,0.104795547202229,0.124914538115263
"Thalassoma lutescens",22.8,30,"InvMob","BtPlDw","Otolth",0.227071240544319,0.201961867511272,0.255826465785503
"Trachinops taeniatus",22.8,10,"Plktiv","BtPlAs","Otolth",0.654310673475266,0.554996594786644,0.776602685451508
"Trachurus novaezelandiae",22.8,20,"Plktiv","BtPlAs","Otolth",0.333705052733421,0.299883417785168,0.367501027882099
"Trachypoma macracanthus",22.8,22,"FisCep","BnthAs","Otolth",0.237121127545834,0.204679790884256,0.273919858038425
"Trygonorrhina fasciata",22.8,120,"InvMob","BnthAs","Otolth",0.0631760135293007,0.056926486082375,0.0699103623628616
"Upeneichthys lineatus",22.8,40,"InvMob","BtPlAs","Otolth",0.130337499082088,0.113335816189647,0.150259084999561
"Zanclus cornutus",22.8,23,"InvSes","BtPlDw","Otolth",0.247163534164429,0.218291979283094,0.28061343729496
