Site,Habitat,Year,Transect,PQ,Turf_CCA,Coral,Ecklonia radiata,Other,Macroalgae,Sand,Sponge,Other_invertebrate
Sawtell,Midshelf,2019,6,P3200250.JPG,18,5,0,1,0,0,0,1
Sawtell,Midshelf,2019,6,P3200251.JPG,12,0,0,3,0,0,10,0
Sawtell,Midshelf,2019,6,P3200252.JPG,15,6,0,1,0,0,3,0
Sawtell,Midshelf,2019,7,P3200255.JPG,6,13,0,1,0,3,2,0
Sawtell,Midshelf,2019,7,P3200256.JPG,9,12,0,0,0,0,4,0
Sawtell,Midshelf,2019,7,P3200257.JPG,9,9,0,5,0,0,2,0
Sawtell,Midshelf,2019,7,P3200258.JPG,10,0,0,8,0,2,4,1
Sawtell,Midshelf,2019,7,P3200259.JPG,6,10,0,0,0,0,9,0
Sawtell,Midshelf,2019,7,P3200260.JPG,10,6,0,1,0,0,8,0
Sawtell,Midshelf,2019,7,P3200261.JPG,10,6,0,0,0,0,8,1
Sawtell,Midshelf,2019,8,P3200264.JPG,3,17,0,2,0,0,3,0
Sawtell,Midshelf,2019,8,P3200265.JPG,12,8,0,2,0,0,3,0
Sawtell,Midshelf,2019,8,P3200266.JPG,16,1,0,1,0,3,1,3
Sawtell,Midshelf,2019,8,P3200267.JPG,15,0,0,0,0,0,9,1
Sawtell,Midshelf,2019,8,P3200268.JPG,15,4,0,1,0,2,2,1
Sawtell,Midshelf,2019,8,P3200269.JPG,16,1,0,1,0,2,4,1
Sawtell,Midshelf,2019,8,P3200270.JPG,16,3,0,1,0,2,3,0
Whitmore,Midshelf,2019,1,P3200272.JPG,20,0,0,0,0,3,0,2
